Ammonium Sulphate (AS, 21% Nitrogen), 5.0
Calcium Ammonium Nitrate (CAN, 26% Nitrogen), 4.0
Ammonium Nitrate (AN 33% Nitrogen), 3.0
Urea (46% Nitrogen), 2.2
Diammonium Phosphate (DAP, 18% Nitrogen - 46% Phosphorus), 5.5
Potassium Nitrate (KNO3, 44% Nitrogen- 13% Phosphorus), 7.7
